"id"	"description"	"en"	"local"
""	""	"Sever any logic links that extend outside the selection. This will happen automatically when pasting a cut selection for the first time."	"Обрізає всі з'єднання які йдуть назовні. З'єднання не будуть функціонувати між різними структурами, тому треба скористуватися ЗЛИТТЯМ або зразу їх від'єднати."
""	""	"Reset the selection grid to its initial position/orientation."	"Вернути сітку виділення до початкових маштабів та положення."
""	""	"SAVE CONTENT"	"ЗБЕРЕГТИ ВМІСТ"
""	""	"Save the current selection grid as a new vehicle."	"Зберегти вміст як новий транспорт."
""	""	"CLEAR CONTENT"	"ОЧИСТИТИ ВМІСТ"
""	""	"Clear the contents of the selection grid to make a new selection."	"Очистити вміст сітки вибору, щоб завантажити/вирізати новий."
""	""	"DATA"	"ДАТА"
""	""	"Edit number and on/off logic nodes."	"Редагувати вузли сигналів on/off і чисел."
""	""	"COMPOSITE"	"КОМПОЗИТ"
""	""	"Edit composite data logic nodes."	"Редагувати композитні вузли."
""	""	"POWER"	"ЕЛЕКТОЕНЕРГІЯ"
""	""	"Edit power logic nodes."	"Редагуйте вузли з'єднання живлення."
""	""	"Use pipes with Advanced Vehicle difficulty"	"Використовуйте труби з розширеною складністю автомобіля"
""	""	"FLUID"	"РІДИНА"
""	""	"Edit fluid transfer nodes."	"Редагуйте вузли передачі рідини."
""	""	"ELECTRIC"	"ЖИВЛЕННЯ"
""	""	"Edit electrical transfer nodes."	"Редагувати вузли передачі живлення."
""	""	"Show/Hide Move Widget"	"Показавути стрілку переміщення"
""	""	"SYMMETRY"	"СИМЕТРІЯ"
""	""	"Select the symmetry plane that should be used when adding and removing components."	"Вмикає осі симетрії, думаю пояснень не треба (Не забувайте перевіряти де знаодиться вісь симетрії)."
""	""	"SECTION PLANE"	"РОЗРІЗ"
""	""	"Toggle section planes to see inside areas."	"Вмикає осі візуального розрізу транспорту, для того, щоб проводити хірургічні операції було ще легше."
""	""	"CAMERA"	"КАМЕРА"
""	""	"Change camera settings."	"Змінити налаштування кмери."
""	""	"CENTRE OF MASS"	"ЦЕНТР МАСИ"
""	""	"Toggle visibility of the vehicle's centre of mass."	"Показує центр маси транспорту."
""	""	"DIRECTION ARROWS"	"СТРІЛКИ НАПРЯМУ"
""	""	"Toggle visibility of the directional arrows shown on components."	"Вмикає видимість стрілок напряму на компонентах, колесах і тд."
""	""	"ROTATION LABELS"	"ПІДСКАЗКИ ПОВОРОТУ"
""	""	"Toggle visibility of the rotation hotkey hints when placing components."	"Вмикає видимість підсказок по повороту блоків."
""	""	"GRID LINES"	"ЛІНІЇ БЛОКІВ"
""	""	"Toggle visibility of the editor grid lines."	"Вмикає видимість ліній блоків в редакторі."
""	""	"MEASUREMENTS"	"ЛІНІЙКА"
""	""	"Toggle visibility of measurements when placing blocks."	"Вмикає видимість лінійки в правому нижньому кутку при розтягуванні блоків."
""	""	"WORLD VIEW"	"СИМУЛЯЦІЯ АНГАРУ"
""	""	"Toggle visibility of the world immediately surrounding the workbench."	"Вмикає симуляцію ангару, щоб краше орієнтуватися в габаритах транспорту або ще що."
""	""	"EDITOR WARNINGS"	"ПОПЕРЕДЖЕННЯ РЕДАКТОРА"
""	""	"Toggle visibility of editor warnings."	"Вмикає видимість попереджень про ""помилки в конструкції""."
""	""	"This component doesn't have a description yet"	"Цей компонент наразі не має опису"
""	""	"Stock"	"Сховок"
""	""	"Exit the editor. This will refund any money spent."	"Вийти з редактору. Це компенсує всі витрачені гроші та деталі."
""	""	"SPAWN"	"ЗІБРАТИ"
""	""	"Spawn your vehicle in the world."	"Викликати ваш транспорт в світі."
""	""	"Discard any changes and start a new vehicle. This will refund any money spent."	"Відмінити всі зміни та почати новий транспорт. Вам будуть компенсовані кошти за всі компоненти цього транспорту."
""	""	"Load a saved vehicle. You will need enough inventory and money to fully construct a loaded vehicle."	"Загрузити збережений транспорт. Вам потрібно мати достатньо коштів та деталей, щоб зібрати цей транспорт повністю."
""	""	"Save your vehicle for later."	"Збережіть вас транспорт на потім (Не забувайте робити це цастіше)."
""	""	"Upload your vehicle to the Steam Workshop, or update a previous upload."	"Вивантажити ваш транспорт в Майстерню Steam, або оновити вивантажений."
""	""	"UNDO"	"СКАСУВАТИ"
""	""	"Undo your most recent change."	"Скасування останньої зміни."
""	""	"REDO"	"ПОВТОРИТИ"
""	""	"Redo the previous undo."	"Повторити попереднє скасування."
""	""	"SELECT"	"ВИБРАТИ"
""	""	"Select components to change their properties. Selectable components will highlight in blue."	"Вибрати компоненти, щоб змінити їх властивості. Доступні до вибору компоненти будуть підсвічені синім, інші будуть прозорими."
""	""	"ERASE"	"СТЕРТИ"
""	""	"Erase components from your vehicle."	"Стерти компоненти з вашого транспорту."
""	""	"PAINT"	"ФАРБА"
""	""	"Change the colors of placed components."	"Змінити колір компонентів на вашому транспорті."
""	""	"MOVE"	"ПЕРЕМІСТИТИ"
""	""	"Move your vehicle within the bounds of the edit grid."	"Функція переміщення вашого транспорту по зоні редагування, впливає на зону появи транспорту в світі."
""	""	"Hook up logic connections between components."	"Підключення логічних зв'язків між компонентами."
""	""	"MERGE"	"ЗЛИТТЯ"
""	""	"Merge two vehicle bodies. Different bodies are denoted by different colors. Click on a body to select it, then click an adjacent one to merge them."	"З'єднує дві частини транспорту. Кожна окрема частина з своєю фізикою відображається своїм кольором, червоний - головний. Натисніть на одну частину, після на іншу, щоб їх поєднати, при цьому потрібно, щоб їхні блоки мали контакт."
""	""	"SELECTION GRID"	"СІТКА ВИБОРУ"
""	""	"Select parts of your vehicle to cut, copy, paste, rotate, flip and move them around. Export a selection as a new vehicle, or import a saved subassembly to place on your vehicle."	"Виберіть частини транспорту щоб їх перемістити, вирізати або копіювати, ви зможене їх розвертати, перевертати і рухати. Збережіть вмість сітки як транспорт, або загрузіть в сітку вміст який хочете до нього додати."
""	""	"MICROCONTROLLER EDITOR"	"РЕДАКТОР МІКРОКОНТРОЛЛЕРА"
""	""	"Create and edit microcontrollers to build compact logic circuits for your vehicle."	"Створити та редагувати мікроконтролер, щоб збирати компактні логічні схеми."
""	""	"INVENTORY"	"ІНВЕНТАР"
""	""	"Browse all components in your inventory [tab]. Drag components to your hotbar with [LMB] for quick access. Double click a component to hide the inventory. Double click a hotbar slot or select it when the inventory is open to replace it with another component. [0-9] can be used to select hotbar slots."	"Ви можете переглянути всі компоненти в вашому інвентарі натиснувши [tab]. \nПереміщайте компонети на слоти гарячих клавіш затискаючи [LMB], для швидкого доступу. \n\nПодвійний клік на компонет, щоб приховати інвентар. \n\nЗатисніть [LMB] на предметі в слоті панелі швидкого доступу, після подвійний клік на предмет з інвентаря, щоб перемістити його на цей слот. \n\n[0-9] можуть бути використані, щоб швидко брати предмети з панелі швидкого доступу."
""	""	"Advanced Presets"	"Розширені Пресети"
""	""	"Presets"	"Пресети"
""	""	"Your saved vehicles."	"Ваші збережені роботи."
""	""	"Vehicles you've subscribed to on the Steam Workshop."	"Роботи на які ви підписані в Майстерні Steam."
""	""	"Some basic vehicles to get you started."	"Базовий транспорт з яким ви можете почати."
""	""	"Preset subassemblies to paste onto your vehicles."	"Заготовки від розробників для використання в своєму транспорті."
""	""	"Upload a new vehicle to the steam workshop, or select one of your existing workshop vehicles to edit and overwrite it"	"Вигрузіть новий транспорт в Майстерню Steam, або виберіть уже існуючий і перезапишіть його"
""	""	"VEHICLE NAME"	"НАЗВА ТРАНСПОРТУ"
""	""	"Vehicle Type"	"Тип Транспорту"
""	""	"Vehicle Functionality"	"Функціонал Транспорту"
""	""	"Misc."	"Різне."
""	""	"tags"	"теги"
""	""	"Vehicle (Made by ###)"	"Транспорт (Зроблений користувачем - ###)"
""	""	"SERVER: ### TPS"	"СЕРВЕР: ### TPS"
""	""	"### Degrees"	"### Градусів"
""	""	"Last updated ###"	"Останнє оновлення ###"
""	""	"Addon"	"Аддон"
""	""	"Matrices"	"Матриці"
""	""	"Callbacks"	"Зворотні виклики"
""	""	"Examples"	"Приклади"
""	""	"Television"	"Телевізор"
""	""	"Crate"	"Ящик"
""	""	"Basketball"	"Баскетбол"
""	""	"Collectable"	"Збираємі"
